l'Afrique (f) , (the) Africa
africain(e) , African
le Maroc , (the) Morocco
marocain(e) , Moroccan
le Sénégal , (the) Senegal
sénégalais(e) , Senegalese
l'Amérique (f) , (the) America (means all of North and South America)
américain(e) , American
l'Amérique du Nord (f) , (the) North America (includes USA, Mexico, Canada)
l'Amérique du Sud (f) , (the) South America
les Antilles (fpl) , (the) West Indies
antillais(e) , West Indian/Caribbean
le Canada , (the) Canada
canadien(ne) , Canadian
les États-Unis (m) , the United States
l'Asie (f) , (the) Asia
asiatique , Asian
la Chine , (the) China
chinois(e) , Chinese
l'Inde (f) , (the) India
indien(ne) , Indian
le Japon , (the) Japan
japonais(e) , Japanese
le Pakistan , (the) Pakistan
pakistanais(e) , Pakistani
l'Australie (f) , (the) Australia
australien(ne) , Australian
la Nouvelle-Zélande , (the) New Zealand
néo-zélandais(e) , New Zealander
l'Europe (f) , (the) Europe
européen(ne) , European
l'Allemagne (f) , (the) Germany
allemand(e) , German
l'Angleterre (f) , (the) England
anglais(e) , English
l'Autriche (f) , (the) Austria
autrichien(ne) , Austrian
la Belgique , (the) Belgium
belge , Belgian
le Danemark , (the) Denmark
danois(e) , Danish
l'Écosse (f) , (the) Scotland
écossais(e) , Scottish
l'Espagne (f) , (the) Spain
espagnol(e) , Spanish
la France , (the) France
français(e) , French
la Grande-Bretagne , (the) Great Britain
la Grèce , (the) Greece
grec(que) , Greek
la Hollande/les Pays-Bas , (the) Holland/Netherlands
hollandais(e)/néerlandais(e) , Dutch
l'Irlande(f) , (the) Ireland
irlandais(e) , Irish
l'Irlande du Nord , (the) Northern Ireland
irlandais(e) du nord , Northern Irish
l'Italie (f) , (the) Italy
italien(ne) , Italian
la Norvège , (the) Norway
norvégien(ne) , Norwegian
le pays de Galles , (the) Wales
gallois(e) , Welsh
le Portugal , (the) Portugal
portugais(e) , Portuguese
le Royaume-Uni , (the) United Kingdom
britannique , British
la Suède , (the) Sweden
suédois(e) , Swedish
la Suisse , (the) Switzerland
suisse , Swiss
